Date,observations(m)
2022-06-07 12:54 PDT,2.94
2022-06-07 12:53 PDT,2.94
2022-06-07 12:52 PDT,2.95
2022-06-07 12:51 PDT,2.95
2022-06-07 12:50 PDT,2.95
2022-06-07 12:49 PDT,2.96
2022-06-07 12:48 PDT,2.96
2022-06-07 12:47 PDT,2.96
2022-06-07 12:46 PDT,2.97
2022-06-07 12:45 PDT,2.97
2022-06-07 12:44 PDT,2.97
2022-06-07 12:43 PDT,2.98
2022-06-07 12:42 PDT,2.98
2022-06-07 12:41 PDT,2.98
2022-06-07 12:40 PDT,2.99
2022-06-07 12:39 PDT,2.99
2022-06-07 12:38 PDT,2.99
2022-06-07 12:37 PDT,2.99
2022-06-07 12:36 PDT,3
2022-06-07 12:35 PDT,3
2022-06-07 12:34 PDT,3
2022-06-07 12:33 PDT,3
2022-06-07 12:32 PDT,3.01
2022-06-07 12:31 PDT,3.01
2022-06-07 12:30 PDT,3.01
2022-06-07 12:29 PDT,3.01
2022-06-07 12:28 PDT,3.01
2022-06-07 12:27 PDT,3.01
2022-06-07 12:26 PDT,3.03
2022-06-07 12:25 PDT,3.03
2022-06-07 12:24 PDT,3.03
2022-06-07 12:23 PDT,3.03
2022-06-07 12:22 PDT,3.04
2022-06-07 12:21 PDT,3.04
2022-06-07 12:20 PDT,3.04
2022-06-07 12:19 PDT,3.05
2022-06-07 12:18 PDT,3.05
2022-06-07 12:17 PDT,3.05
2022-06-07 12:16 PDT,3.06
2022-06-07 12:15 PDT,3.06
2022-06-07 12:14 PDT,3.06
2022-06-07 12:13 PDT,3.07
2022-06-07 12:12 PDT,3.07
2022-06-07 12:11 PDT,3.07
2022-06-07 12:10 PDT,3.07
2022-06-07 12:09 PDT,3.07
2022-06-07 12:08 PDT,3.07
2022-06-07 12:07 PDT,3.07
2022-06-07 12:06 PDT,3.07
2022-06-07 12:05 PDT,3.07
2022-06-07 12:04 PDT,3.08
2022-06-07 12:03 PDT,3.08
2022-06-07 12:02 PDT,3.08
2022-06-07 12:01 PDT,3.08
2022-06-07 12:00 PDT,3.08
2022-06-07 11:59 PDT,3.08
2022-06-07 11:58 PDT,3.09
2022-06-07 11:57 PDT,3.09
2022-06-07 11:56 PDT,3.09
2022-06-07 11:55 PDT,3.09
2022-06-07 11:54 PDT,3.1
2022-06-07 11:53 PDT,3.1
2022-06-07 11:52 PDT,3.1
2022-06-07 11:51 PDT,3.1
2022-06-07 11:50 PDT,3.1
2022-06-07 11:49 PDT,3.1
2022-06-07 11:48 PDT,3.1
2022-06-07 11:47 PDT,3.1
2022-06-07 11:46 PDT,3.1
2022-06-07 11:45 PDT,3.1
2022-06-07 11:44 PDT,3.1
2022-06-07 11:43 PDT,3.1
2022-06-07 11:42 PDT,3.11
2022-06-07 11:41 PDT,3.11
2022-06-07 11:40 PDT,3.11
2022-06-07 11:39 PDT,3.12
2022-06-07 11:38 PDT,3.11
2022-06-07 11:37 PDT,3.12
2022-06-07 11:36 PDT,3.12
2022-06-07 11:35 PDT,3.12
2022-06-07 11:34 PDT,3.11
2022-06-07 11:33 PDT,3.12
2022-06-07 11:32 PDT,3.12
2022-06-07 11:31 PDT,3.12
2022-06-07 11:30 PDT,3.13
2022-06-07 11:29 PDT,3.12
2022-06-07 11:28 PDT,3.12
2022-06-07 11:27 PDT,3.12
2022-06-07 11:26 PDT,3.13
2022-06-07 11:25 PDT,3.13
2022-06-07 11:24 PDT,3.13
2022-06-07 11:23 PDT,3.13
2022-06-07 11:22 PDT,3.12
2022-06-07 11:21 PDT,3.12
2022-06-07 11:20 PDT,3.13
2022-06-07 11:19 PDT,3.13
2022-06-07 11:18 PDT,3.13
2022-06-07 11:17 PDT,3.13
2022-06-07 11:16 PDT,3.13
2022-06-07 11:15 PDT,3.13
2022-06-07 11:14 PDT,3.13
2022-06-07 11:13 PDT,3.13
2022-06-07 11:12 PDT,3.13
2022-06-07 11:11 PDT,3.13
2022-06-07 11:10 PDT,3.12
2022-06-07 11:09 PDT,3.12
2022-06-07 11:08 PDT,3.12
2022-06-07 11:07 PDT,3.13
2022-06-07 11:06 PDT,3.13
2022-06-07 11:05 PDT,3.12
2022-06-07 11:04 PDT,3.12
2022-06-07 11:03 PDT,3.12
2022-06-07 11:02 PDT,3.12
2022-06-07 11:01 PDT,3.12
2022-06-07 11:00 PDT,3.12
2022-06-07 10:59 PDT,3.12
2022-06-07 10:58 PDT,3.13
2022-06-07 10:57 PDT,3.13
2022-06-07 10:56 PDT,3.13
2022-06-07 10:55 PDT,3.13
2022-06-07 10:54 PDT,3.13
2022-06-07 10:53 PDT,3.13
2022-06-07 10:52 PDT,3.12
2022-06-07 10:51 PDT,3.12
2022-06-07 10:50 PDT,3.12
2022-06-07 10:49 PDT,3.12
2022-06-07 10:48 PDT,3.12
2022-06-07 10:47 PDT,3.12
2022-06-07 10:46 PDT,3.13
2022-06-07 10:45 PDT,3.13
2022-06-07 10:44 PDT,3.13
2022-06-07 10:43 PDT,3.12
2022-06-07 10:42 PDT,3.12
2022-06-07 10:41 PDT,3.12
2022-06-07 10:40 PDT,3.12
2022-06-07 10:39 PDT,3.12
2022-06-07 10:38 PDT,3.12
2022-06-07 10:37 PDT,3.11
2022-06-07 10:36 PDT,3.12
2022-06-07 10:35 PDT,3.12
2022-06-07 10:34 PDT,3.11
2022-06-07 10:33 PDT,3.11
2022-06-07 10:32 PDT,3.11
2022-06-07 10:31 PDT,3.1
2022-06-07 10:30 PDT,3.1
2022-06-07 10:29 PDT,3.1
2022-06-07 10:28 PDT,3.1
2022-06-07 10:27 PDT,3.1
2022-06-07 10:26 PDT,3.1
2022-06-07 10:25 PDT,3.1
2022-06-07 10:24 PDT,3.1
2022-06-07 10:23 PDT,3.1
2022-06-07 10:22 PDT,3.1
2022-06-07 10:21 PDT,3.09
2022-06-07 10:20 PDT,3.08
2022-06-07 10:19 PDT,3.08
2022-06-07 10:18 PDT,3.09
2022-06-07 10:17 PDT,3.09
2022-06-07 10:16 PDT,3.09
2022-06-07 10:15 PDT,3.09
2022-06-07 10:14 PDT,3.09
2022-06-07 10:13 PDT,3.08
2022-06-07 10:12 PDT,3.08
2022-06-07 10:11 PDT,3.08
2022-06-07 10:10 PDT,3.08
2022-06-07 10:09 PDT,3.08
2022-06-07 10:08 PDT,3.08
2022-06-07 10:07 PDT,3.08
2022-06-07 10:06 PDT,3.08
2022-06-07 10:05 PDT,3.07
2022-06-07 10:04 PDT,3.06
2022-06-07 10:03 PDT,3.06
2022-06-07 10:02 PDT,3.06
2022-06-07 10:01 PDT,3.06
2022-06-07 10:00 PDT,3.06
2022-06-07 09:59 PDT,3.06
2022-06-07 09:58 PDT,3.06
2022-06-07 09:57 PDT,3.05
2022-06-07 09:56 PDT,3.05
2022-06-07 09:55 PDT,3.05
2022-06-07 09:54 PDT,3.05
2022-06-07 09:53 PDT,3.04
2022-06-07 09:52 PDT,3.04
2022-06-07 09:51 PDT,3.04
2022-06-07 09:50 PDT,3.04
2022-06-07 09:49 PDT,3.04
2022-06-07 09:48 PDT,3.04
2022-06-07 09:47 PDT,3.03
2022-06-07 09:46 PDT,3.03
2022-06-07 09:45 PDT,3.03
2022-06-07 09:44 PDT,3.03
2022-06-07 09:43 PDT,3.03
2022-06-07 09:42 PDT,3.03
2022-06-07 09:41 PDT,3.03
2022-06-07 09:40 PDT,3.02
2022-06-07 09:39 PDT,3.01
2022-06-07 09:38 PDT,3.02
2022-06-07 09:37 PDT,3.02
2022-06-07 09:36 PDT,3.01
2022-06-07 09:35 PDT,3.01
2022-06-07 09:34 PDT,3.01
2022-06-07 09:33 PDT,3.01
2022-06-07 09:32 PDT,3.01
2022-06-07 09:31 PDT,3.01
2022-06-07 09:30 PDT,3.01
2022-06-07 09:29 PDT,3.01
2022-06-07 09:28 PDT,3
2022-06-07 09:27 PDT,3
2022-06-07 09:26 PDT,3
2022-06-07 09:25 PDT,3
2022-06-07 09:24 PDT,2.99
2022-06-07 09:23 PDT,2.99
2022-06-07 09:22 PDT,2.99
2022-06-07 09:21 PDT,2.99
2022-06-07 09:20 PDT,2.99
2022-06-07 09:19 PDT,2.99
2022-06-07 09:18 PDT,2.98
2022-06-07 09:17 PDT,2.98
2022-06-07 09:16 PDT,2.98
2022-06-07 09:15 PDT,2.98
2022-06-07 09:14 PDT,2.98
2022-06-07 09:13 PDT,2.98
2022-06-07 09:12 PDT,2.98
2022-06-07 09:11 PDT,2.98
2022-06-07 09:10 PDT,2.98
2022-06-07 09:09 PDT,2.97
2022-06-07 09:08 PDT,2.98
2022-06-07 09:07 PDT,2.98
2022-06-07 09:06 PDT,2.98
2022-06-07 09:05 PDT,2.97
2022-06-07 09:04 PDT,2.97
2022-06-07 09:03 PDT,2.97
2022-06-07 09:02 PDT,2.97
2022-06-07 09:01 PDT,2.96
2022-06-07 09:00 PDT,2.96
2022-06-07 08:59 PDT,2.96
2022-06-07 08:58 PDT,2.96
2022-06-07 08:57 PDT,2.96
2022-06-07 08:56 PDT,2.95
2022-06-07 08:55 PDT,2.95
2022-06-07 08:54 PDT,2.95
2022-06-07 08:53 PDT,2.95
2022-06-07 08:52 PDT,2.95
2022-06-07 08:51 PDT,2.94
2022-06-07 08:50 PDT,2.95
2022-06-07 08:49 PDT,2.95
2022-06-07 08:48 PDT,2.95
2022-06-07 08:47 PDT,2.95
2022-06-07 08:46 PDT,2.95
2022-06-07 08:45 PDT,2.94
2022-06-07 08:44 PDT,2.94
2022-06-07 08:43 PDT,2.94
2022-06-07 08:42 PDT,2.93
2022-06-07 08:41 PDT,2.93
2022-06-07 08:40 PDT,2.93
2022-06-07 08:39 PDT,2.93
2022-06-07 08:38 PDT,2.93
2022-06-07 08:37 PDT,2.93
2022-06-07 08:36 PDT,2.93
2022-06-07 08:35 PDT,2.93
2022-06-07 08:34 PDT,2.93
2022-06-07 08:33 PDT,2.93
2022-06-07 08:32 PDT,2.93
2022-06-07 08:31 PDT,2.93
2022-06-07 08:30 PDT,2.93
2022-06-07 08:29 PDT,2.92
2022-06-07 08:28 PDT,2.92
2022-06-07 08:27 PDT,2.92
2022-06-07 08:26 PDT,2.92
2022-06-07 08:25 PDT,2.92
2022-06-07 08:24 PDT,2.92
2022-06-07 08:23 PDT,2.91
2022-06-07 08:22 PDT,2.91
2022-06-07 08:21 PDT,2.91
2022-06-07 08:20 PDT,2.91
